Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1999-01-08,242.0,250.0,242.0,246.5,245.72798804827,218211.0,849.0,53620550.0,,,8.0,4.5
1999-01-11,256.5,262.9,250.3,255.0,255.24944676836,288306.0,1084.0,73589947.0,,,12.6,-1.5
1999-01-12,251.0,255.0,246.0,254.0,250.50595007201,224283.0,650.0,56184226.0,,,9.0,3.0
1999-01-13,254.1,256.5,247.1,247.4,252.2023944949,107246.0,486.0,27047698.0,,,9.4,-6.7
1999-01-18,232.0,232.9,223.0,228.0,226.81507179228,87196.0,358.0,19777367.0,,,9.9,-4.0
1999-01-22,228.5,229.0,220.0,220.0,223.79217765459,62053.0,262.0,13886976.0,,,9.0,-8.5
1999-02-04,211.0,211.0,202.2,202.3,204.99997361095,75789.0,387.0,15536743.0,,,8.8,-8.7
1999-02-05,205.6,205.6,187.0,191.0,192.15228229374,149433.0,740.0,28713892.0,,,18.6,-14.6
1999-02-12,208.0,211.7,205.1,209.9,209.11389465279,177831.0,944.0,37186933.0,,,6.6,1.9
1999-02-15,219.0,219.0,193.2,193.2,201.08830365887,84753.0,501.0,17042837.0,,,25.8,-25.8
1999-02-16,192.1,202.0,189.1,202.0,196.01456806804,57729.0,415.0,11315725.0,,,12.9,9.9
1999-02-17,200.0,211.0,194.0,200.0,202.64278276715,153660.0,698.0,31138090.0,,,17.0,0.0
1999-02-23,198.4,199.0,192.0,194.7,195.50047784701,26159.0,172.0,5114097.0,,,7.0,-3.7
1999-02-24,195.5,197.4,192.0,194.5,194.88943914225,41597.0,230.0,8106816.0,,,5.4,-1.0
1999-02-25,199.9,209.9,198.1,209.5,205.43944427268,152017.0,842.0,31230288.0,,,11.8,9.6
1999-02-26,210.0,216.3,208.0,209.6,211.83651550532,152883.0,814.0,32386202.0,,,8.3,-0.4
1999-03-09,192.9,204.9,190.0,204.9,198.11025283749,517447.0,1931.0,102511556.0,,,14.9,12.0
1999-03-10,206.0,221.2,206.0,214.0,216.54027092936,597056.0,1863.0,129286668.0,,,15.2,8.0
1999-03-11,216.0,218.0,200.0,202.6,207.33745331525,119418.0,676.0,24759824.0,,,18.0,-13.4
1999-03-12,203.1,204.0,196.7,201.3,199.72877342704,119520.0,576.0,23871583.0,,,7.3,-1.8
1999-03-15,201.5,204.9,197.0,197.5,199.74678870082,69598.0,313.0,13901977.0,,,7.9,-4.0
1999-03-16,196.1,200.0,189.0,191.0,194.44464834027,55039.0,339.0,10702039.0,,,11.0,-5.1
1999-03-17,187.0,202.9,185.1,192.8,197.10289045526,139459.0,573.0,27487772.0,,,17.8,5.8
1999-03-19,194.1,198.9,192.0,195.0,194.26697909772,93674.0,392.0,18197765.0,,,6.9,0.9
